Country,Density(P/Km2),Armed Forces,GDP,Labor force participation(%),Unemployment rate,Total tax rate,CPI,Self-paid Health,Birth Rate,Forested Area(%),Agricultural Land(%),Primary educ. enr.(%),Cluster
The Bahamas,0.3265393143065848,0.4629166442607048,0.23333817983601834,0.75,0.3656105375578498,0.2624618514750763,0.04789985830016974,0.29488859764089126,0.19077620967741937,0.5228891149542217,0.009756097560975608,0.24287484510532853,medium_rich
Belize,0.22587627882136155,0.5093270455822672,0.03493018853608598,0.555327868852459,0.22499110003559988,0.23499491353001017,0.019441034473570706,0.2280471821756226,0.3626512096774193,0.607324516785351,0.07804878048780489,0.6183395291201982,medium_rich
Bhutan,0.2453091226461889,0.582916523877911,0.06216960429568408,0.5881147540983607,0.08009967960128159,0.27772126144455744,0.15693469068449484,0.19003931847968547,0.2736895161290323,0.7375381485249237,0.15853658536585366,0.47459727385377926,medium_rich
Bolivia,0.17476174509947154,0.7484687244576853,0.35312389427641344,0.6926229508196722,0.12139551441794233,0.770091556459817,0.12100786298543742,0.2699868938401049,0.3868447580645162,0.5116988809766022,0.4170731707317073,0.45105328376703835,medium_rich
Brunei,0.4200708677456604,0.6021896835811533,0.23838698689981186,0.5471311475409837,0.3214667141331435,0.0,0.0,0.009174311926605505,0.21421370967741937,0.7334689725330621,0.025609756097560978,0.5130111524163569,medium_rich
Cape Verde,0.48356387629310615,0.4629166442607048,0.04040180285667905,0.46106557377049184,0.43289426842292633,0.30010172939979657,0.03278890816508806,0.23460026212319796,0.32988911290322576,0.2288911495422177,0.23170731707317074,0.5229244114002477,medium_rich
Cambodia,0.43690436274867883,0.8147752072002971,0.31057268402609717,0.9077868852459017,0.02100391598433607,0.15361139369277724,0.07595657559441271,0.709043250327654,0.40473790322580644,0.538148524923703,0.3695121951219512,0.5650557620817843,medium_rich
Cameroon,0.3711876126527299,0.675795905988081,0.3475848707795577,0.7807377049180326,0.11712353150587397,0.5055951169888098,0.05409741872636853,0.8440366972477065,0.7305947580645162,0.3997965412004069,0.24390243902439024,0.5154894671623297,medium_rich
Central African Republic,0.13849540627162585,0.6021896835811533,0.05213973121494275,0.6967213114754098,0.12780348878604486,0.664292980671414,0.19036023646376155,0.44954128440366975,0.7295866935483872,0.3621566632756867,0.09268292682926829,0.4981412639405204,medium_rich
Republic of the Congo,0.21867066331145094,0.6293548192706706,0.21576477438452413,0.6434426229508199,0.3339266642933429,0.47100712105798576,0.06909284924265702,0.5045871559633027,0.6668346774193548,0.6653102746693795,0.3719512195121951,0.5551425030978933,medium_rich
Democratic Republic of the Congo,0.3296521626224883,0.7910267604795475,0.368197989445207,0.5225409836065573,0.14773940904236385,0.434384537131231,0.0902202936684775,0.4207077326343382,0.8765120967741935,0.683621566632757,0.13414634146341461,0.5724907063197026,medium_rich
Ecuador,0.40063802392083314,0.7116768013959154,0.452909889410686,0.6147540983606559,0.13812744749021005,0.2685656154628688,0.06764809041241415,0.5032765399737877,0.33568548387096775,0.5106815869786369,0.2634146341463415,0.5142503097893433,medium_rich
Equatorial Guinea,0.35716606958307673,0.4629166442607048,0.21771482715936763,0.4918032786885247,0.22570309718761125,0.7263479145473042,0.0681545424512926,0.8741808650065531,0.6764112903225807,0.5645981688708037,0.11585365853658536,0.0,medium_rich
Estonia,0.298408956477053,0.582916523877911,0.3257852860234549,0.5245901639344264,0.1787112851548594,0.40488301119023395,0.062781699716699,0.22935779816513768,0.11340725806451613,0.5218718209562564,0.27439024390243905,0.4386617100371747,medium_rich
Fiji,0.35466967213611666,0.5557541791641991,0.14651929931698815,0.4016393442622952,0.14275542897828408,0.2451678535096643,0.08672834336740576,0.21100917431192662,0.37500000000000006,0.5686673448626653,0.27682926829268295,0.5526641883519207,medium_rich
Finland,0.23269220638110402,0.678531045651119,0.5476392648176645,0.4323770491803278,0.2313990744037024,0.29094608341810785,0.03770608402095976,0.1913499344692005,0.05544354838709675,0.7436419125127162,0.08414634146341463,0.4758364312267659,medium_rich
Gabon,0.15177756920711336,0.5932436953546562,0.26033713855949303,0.305327868852459,0.7087931648273408,0.3977619532044761,0.06290431991766798,0.2699868938401049,0.6353326612903225,0.9155645981688708,0.23658536585365852,0.9677819083023543,medium_rich
Georgia,0.3733800844623908,0.6811589010819226,0.26685752129921614,0.6209016393442623,0.509433962264151,0.019328585961342834,0.08968223904051875,0.6815203145478375,0.1781754032258065,0.4130213631739573,0.4134146341463415,0.45600991325898377,medium_rich
Guyana,0.06439669665737752,0.5364838100879846,0.11995443274196216,0.3729508196721312,0.4186543253826985,0.22990844354018314,0.04782254495896043,0.4613368283093054,0.3419858870967742,0.8535096642929808,0.0975609756097561,0.44609665427509293,medium_rich
Honduras,0.428768381750365,0.6729443479380901,0.3026737316368795,0.6311475409836065,0.18867924528301885,0.31637843336724314,0.12506660615824838,0.5740498034076016,0.3830645161290323,0.4069175991861648,0.34512195121951217,0.36802973977695175,medium_rich
Iceland,0.03626633882784569,0.0,0.29886916117046036,0.7581967213114755,0.09789960840156639,0.2431332655137335,0.07915661296108345,0.15334207077326345,0.1411290322580645,0.00508646998982706,0.22073170731707317,0.4783147459727385,medium_rich
Laos,0.3022881533626718,0.7884787788214674,0.26933503506878154,0.8299180327868854,0.019223923104307587,0.16378433367243136,0.09471133533620146,0.5255570117955439,0.4322076612903227,0.8351983723296033,0.11829268292682926,0.503097893432466,medium_rich
Latvia,0.2944065901126609,0.582916523877911,0.3344024362877578,0.4795081967213115,0.22890708437166252,0.30620549338758907,0.049544512828159304,0.4757536041939712,0.09072580645161288,0.5493387589013226,0.3719512195121951,0.46592317224287483,medium_rich
Liberia,0.36437168509298745,0.5093270455822672,0.0856333365277191,0.7848360655737705,0.09683161267354931,0.38860630722278744,0.24368095169706372,0.18741808650065533,0.6713709677419355,0.4384537131230926,0.33414634146341465,0.28872366790582393,medium_rich
